Relógio Temporal,"Aterrissagem bem-sucedida, Agente! Estamos em Pernambuco, pleno século XVII. Olhe adiante, o General Calvil se infiltrou como comandante das forças holandesas!"
General Calvil,Escutem bem! Estreitem o cerco pelas margens do rio e não deixem nenhuma rebelde escapar. Vamos apagar a resistência desta província de uma vez por todas!
Agente,Ele está comandando os holandeses diretamente. Vou intervir!
Relógio Temporal,Espere! Meus sensores indicam que não será necessário. Alguém já preparou uma recepção para eles... Olhe para o topo das árvores!
Soldado Holandês,Achhh! Meus olhos! Que fumaça ardente é esta?! Não consigo enxergar!
General Calvil,"Que armadilha covarde!"""
Clara Camarão,"Agora, guerreiras! O pó de pimenta cegou os invasores! Atacar com tudo! Vamos expulsá-los das nossas terras!"
General Calvil,"Uma mulher comandando um exército?! Soldados, contenham-na!"
Clara Camarão,Não recuem! Avancem com as armas e limpem a nossa mata!
General Calvil,Essa selvagem quebrou nossa formação! Batalha perdida! Vou fazer uma retirada estratégica.
Agente,Aquela técnica... O avanço com a lança foi implacável. Consigo replicar o movimento.
Relógio Temporal,"Incrível, Agente! A determinação e a técnica de Clara Camarão geraram uma onda de inspiração temporal! Você absorveu a essência do combate dela!"
Relógio Temporal,"Cuidado! A fuga desordenada do Calvil deixou o espaço-tempo instável, fazendo detritos e caixas cairem do céu! É a oportunidade perfeita para testar seu novo poder!"
Agente,Entendido. Iniciando teste de impacto.
